GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	 LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS415157001	2016-06-30 14:35:46	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Mezcalitos-Ixpalbarco	L3866946	P	20.4280786	-86.8385231	2015-01-25	06:26:00	obsr622980	S30469573	Traveling	P22	EBIRD_MEX	183	2		8	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS318332871	2015-09-29 14:48:24	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino de terraceria por zona hotelera Oeste	L3632043	P	20.405673	-87.010349	2015-05-09	06:20:00	obsr622928	S23368961	Traveling	P22	EBIRD	180	1.5		3	1	G1263411	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS355594149	2015-12-06 08:26:13	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Club Campestre Cozumel	L2351725	H	20.5459037	-86.9223261	2015-11-19	08:30:00	obsr340205	S26006123	Traveling	P22	EBIRD	60	1		3	1	G1489051	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS357343963	2015-12-06 08:26:13	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Club Campestre Cozumel	L2351725	H	20.5459037	-86.9223261	2015-11-19	08:30:00	obsr439633	S26145988	Traveling	P22	EBIRD	60	1		3	1	G1489051	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS355145548	2018-04-17 10:42:03	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Iberostar Cozumel	L5259576	H	20.3702163	-87.0216322	2015-11-18	10:45:00	obsr340205	S25973752	Traveling	P22	EBIRD	15	0.3		1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS318282051	2015-09-29 14:48:24	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino de terraceria por zona hotelera Oeste	L3632043	P	20.405673	-87.010349	2015-05-09	06:20:00	obsr622980	S23366163	Traveling	P22	EBIRD	180	1.5		3	1	G1263411	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS355141095	2018-04-17 10:42:03	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Iberostar Cozumel	L5259576	H	20.3702163	-87.0216322	2015-11-17	07:00:00	obsr340205	S25973462	Traveling	P22	EBIRD	90	3		2	1	G2051426	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS351149934	2018-08-06 17:45:18	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Club Campestre Cozumel	L2351725	H	20.5459037	-86.9223261	2015-10-25	07:23:00	obsr131936	S25666315	Traveling	P22	EBIRD_MEX	217	3		6	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS317561158	2015-09-29 14:48:24	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Before El Cedral (path)	L3625565	P	20.410863	-87.007143	2015-05-09	06:19:00	obsr549196	S23327658	Traveling	P22	EBIRD	196	1		3	1		0	1	0		Partially Cloudy, scattered showers, 5 - 8 kts wind from south east. °27 Celsius .	
URN:CornellLabOfOrnithology:EBIRD:OBS302125460	2016-01-06 22:55:34	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Isla Cozumel, rock career area	L3471275	P	20.4020919	-87.011708	2015-03-06	07:00:00	obsr312191	S22265921	Traveling	P22	EBIRD_QC	120	1		1	1		0	1	0			Exact location: N20.40050 W87.00863.
