LAST EDITED DATE	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	 LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	TRIP COMMENTS
2015-05-18 18:04:43	Mexico	MX	Quintana Roo	MX-ROO			MX_178				Hotel Casa del Mar	L3306115	P	20.4830647	-86.9712067	2015-01-16	07:30:00	obs462388	S21486767	Stationary	P21	EBIRD	5			1	1		
2016-08-27 17:11:00	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			San Gervasio	L4883040	P	20.4999436	-86.8462935	2016-08-12	10:00:00	obs353030	S31276066	Traveling	P22	EBIRD	120	3.219		3	1		
2016-08-22 13:02:59	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Punta Sur 1 Torre punto	L4216806	P	20.2809922	-86.9790991	2016-08-11	07:00:00	obs672437	S31199382	Stationary	P21	EBIRD_MEX	10			3	1		
2016-09-04 16:35:18	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Derelict Farm Trans Cozumel	L4880988	P	20.454599	-86.8874574	2016-08-12	18:30:00	obs353030	S31275771	Stationary	P21	EBIRD	60			1	1		
2016-08-21 12:30:39	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Torre de camino a la isla de la Pasión	L4382066	P	20.5424517	-86.8822753	2016-08-21	08:57:00	obs412369	S31183380	Stationary	P21	EBIRD	30			2	1		
2018-08-17 21:37:59	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, Punto 11	L7833363	P	20.5461667	-86.9052222	2016-07-31	07:50:00	obs622980	S31435923	Stationary	P21	EBIRD_MEX	10			5	1		Ceci Alcerreca, Raymundo Martínez, Itzel Arista, Jessica Thompson
2018-08-17 15:42:44	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 8	L7832155	P	20.54125	-86.8998056	2016-07-31	07:55:00	obs622980	S31436137	Stationary	P21	EBIRD_MEX	10			4	1	G1911932	
2016-08-22 13:06:03	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Punta Sur 3 Muelle punto	L4217185	P	20.2740078	-86.9872262	2016-08-11	07:29:00	obs672437	S31199419	Stationary	P21	EBIRD_MEX	10			3	1		
2018-08-17 15:20:53	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 2	L7831853	P	20.5430278	-86.8817778	2016-06-12	07:05:00	obs622980	S31431211	Stationary	P21	EBIRD_MEX	10			4	1	G1911942	
2018-08-17 15:22:01	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 3	L7831866	P	20.5421389	-86.88425	2016-06-12	07:24:00	obs622980	S31432119	Stationary	P21	EBIRD_MEX	10			4	1	G1911952	
2018-08-17 15:20:53	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 2	L7831853	P	20.5430278	-86.8817778	2016-07-31	07:05:00	obs622980	S31378676	Stationary	P21	EBIRD_MEX	15			4	1	G1911939	
2016-09-04 21:56:15	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			PN Chankanaab	L1127535	H	20.4421721	-86.9942701	2016-09-01	10:00:00	obs445178	S31424214	Traveling	P22	EBIRD	300	5.633		1	1		<br />Submitted from eBird for iOS, version 1.2.6 Build 75
